Trend	Season	Episode	Title	Year	Total votes	Average rating	Runtime, min	Directed by
11	1	1	We Only See Each Other at Weddings and Funerals	2019	7,641	7.7	58	Peter Hoar
8	1	2	Run Boy Run	2019	6,493	7.7	56	Andrew Bernstein
8	1	3	Extra Ordinary	2019	6,023	7.8	55	Andrew Bernstein
8	1	4	Man on the Moon	2019	5,735	7.9	55	Ellen Kuras
6	1	5	Number Five	2019	5,748	8.2	59	Ellen Kuras
5	1	6	The Day That Wasn't	2019	5,729	8.3	57	Stephen Surjik
4	1	7	The Day That Was	2019	5,418	8.1	55	Stephen Surjik
4	1	8	I Heard a Rumor	2019	5,705	8.5	50	Jeremy Webb
4	1	9	Changes	2019	5,488	8.4	44	Jeremy Webb
6	1	10	The White Violin	2019	6,581	8.7	46	Peter Hoar
4	2	1	Right Back Where We Started	2020	5,348	8.2	47	Sylvain White
4	2	2	The Frankel Footage	2020	4,805	8.0	48	Stephen Surjik
5	2	3	The Swedish Job	2020	4,773	8.2	48	Stephen Surjik
5	2	4	The Majestic 12	2020	4,631	8.0	48	Tom Verica
5	2	5	Valhalla	2020	4,618	8.1	47	Tom Verica
6	2	6	A Light Supper	2020	4,544	8.2	50	Ellen Kuras
5	2	7	Öga for Öga	2020	4,706	8.4	47	Ellen Kuras
5	2	8	The Seven Stages	2020	4,653	8.5	46	Amanda Marsalis
5	2	9	743	2020	4,861	8.7	40	Amanda Marsalis
7	2	10	The End of Something	2020	6,128	8.9	49	Jeremy Webb
4	3	1	Meet the Family	2022	4,569	7.6	50	Jeremy Webb
3	3	2	World's Biggest Ball of Twine	2022	4,467	6.8	52	Cheryl Dunye
3	3	3	Pocket Full of Lightning	2022	3,559	7.6	49	Cheryl Dunye
3	3	4	Kugelblitz	2022	3,392	7.6	51	Sylvain White
4	3	5	Kindest Cut	2022	3,316	7.4	44	Sylvain White
4	3	6	Marigold	2022	2,922	7.3	48	Jeff King
3	3	7	Auf Wiedersehen	2022	3,108	7.7	52	Kate Woods
4	3	8	Wedding at the End of the World	2022	3,425	7.1	49	Paco Cabezas
3	3	9	Seven Bells	2022	3,134	7.7	39	Paco Cabezas
3	3	10	Oblivion	2022	3,781	7.3	49	Jeff King
8	4	1	The Unbearable Tragedy of Getting What You Want	2024	3,06	6.6	52	Jeremy Webb
8	4	2	Jean and Gene	2024	2,93	7.2	47	Jeremy Webb
8	4	3	The Squid and the Girl	2024	2,671	6.7	56	Paco Cabezas
8	4	4	The Cleanse	2024	2,656	6.4	55	Paco Cabezas
9	4	5	Six Years, Five Months, and Two Days	2024	3,186	5.7	58	Neville Kidd
22	4	6	End of the Beginning	2024	5,038	4.9	69	Paco Cabezas
